
Ukrivljeni lok – Članice
Mesto,Tekmovalec,Klub,Ajdovščina<br>16.11.2025,Postojna<br>6.12.2025,Kamnik<br>14.12.2025,Lendava<br>20.12.2025,Ilirska Bistrica<br>10.1.2026,Rakek<br>25.1.2026,Šenčur<br>7.2.2026,Skupaj
1,Habjan Teja,005 - LK Kamnik,,,525/25,,521/25,,524/25,1570/75
2,Šarec Anja,005 - LK Kamnik,531/20,,490/20,482/25,,,,1503/65
3,Onassis Jernejka,048 - LS Ljutomer,,,,,,465/25,437/20,902/45
4,Pintarič Žana,066 - LK Paradoks,563/25,,,,,,,563/25

Ukrivljeni lok – Člani
Mesto,Tekmovalec,Klub,Ajdovščina<br>16.11.2025,Postojna<br>6.12.2025,Kamnik<br>14.12.2025,Lendava<br>20.12.2025,Ilirska Bistrica<br>10.1.2026,Rakek<br>25.1.2026,Šenčur<br>7.2.2026,Skupaj
1,Samec Andraž,067 - LK Budanje,,535/20,549/25,544/25,542/12,545/20,526/20,3241/122
2,Šušteršič Lovro,015 - LS Škofja Loka,427/25,479/15,487/10,473/15,433/*8,475/11,507/12,2848/88
3,Ferjančič Franci,067 - LK Budanje,,,536/20,532/20,534/11,514/15,510/15,2626/81
4,Pernič Sanjin,075 - Društvo Šentlok,368/15,418/10,422/8,402/12,425/*7,431/8,431/7,2472/60
5,Leitgeb Andrej,015 - LS Škofja Loka,420/20,469/12,483/9,,,466/9,458/9,2296/59
6,Ravnikar Žiga,005 - LK Kamnik,,,,,586/25,556/25,,1142/50
7,Mihevc Martin,058 - LD Logatec,,,,,572/20,,558/25,1130/45
8,Rudolf Robert,058 - LD Logatec,,,,,483/9,486/12,488/11,1457/32
9,Purkart Domen,011 - LK Šenčur,,468/11,517/11,,,,465/10,1450/32
10,Jeras Timej,005 - LK Kamnik,,,534/12,,549/15,,,1083/27
11,Jager Matic,080 - LK Apolon,,,535/15,,519/10,,,1054/25
12,Hojnik Grega,002 - LK Maribor,,541/25,,,,,,541/25
13,Varšnik Andrej,001 - LK Muta,,,,,,473/10,444/8,917/18

Ukrivljeni lok – Mlajše od 13 let
Mesto,Tekmovalec,Klub,Ajdovščina<br>16.11.2025,Postojna<br>6.12.2025,Kamnik<br>14.12.2025,Lendava<br>20.12.2025,Ilirska Bistrica<br>10.1.2026,Rakek<br>25.1.2026,Šenčur<br>7.2.2026,Skupaj
1,Ribič Sofija,006 - LK MINS Postojna,512/20,489/25,469/15,480/25,498/25,482/15,,2930/125
